supplier_id,name,country,industry,annual_revenue_usd,ownership_type,parent_company,tier_level,sanctions_flag,high_risk_country_flag,risk_notes
SUP-1254,National Systems,Turkey,Automotive,1183548129,Subsidiary,PARENT-74,1,0,1,High-Risk Country
SUP-1255,Advanced Manufacturing,China,Semiconductors,517044934,Subsidiary,PARENT-118,3,0,0,
SUP-1256,Prime Industries,Turkey,Logistics,1286487333,Private,,3,0,1,High-Risk Country
SUP-1257,Omega Corp,Germany,Automotive,630501830,Subsidiary,PARENT-91,1,0,0,
SUP-1258,Advanced Corp,Brazil,Automotive,1431726508,Private,,3,0,0,
SUP-1259,Eastern Industries,South Korea,Consumer Electronics,1094477935,Private,,2,0,0,
SUP-1260,Alpha Technologies,UK,Metals & Mining,806660779,State-Owned,,3,0,0,
SUP-1261,Global Trading,Vietnam,Defense,745457726,Public,,3,0,0,
SUP-1262,Prime Corp,France,Energy,291494927,Private,,2,0,0,
SUP-1263,Omega Trading,Turkey,Automotive,1788235320,Subsidiary,PARENT-123,3,0,1,High-Risk Country
SUP-1264,United Holdings,China,Logistics,84422089,State-Owned,,1,0,0,
SUP-1265,Global Systems,South Africa,Semiconductors,682736854,State-Owned,,3,0,1,High-Risk Country
SUP-1266,Western Solutions,Japan,Telecommunications,83642496,Public,,2,0,0,
SUP-1267,Eastern Technologies,Turkey,Energy,591728204,Private,,2,0,1,High-Risk Country
SUP-1268,Western Logistics,France,Logistics,1926219384,Subsidiary,PARENT-48,2,0,0,
SUP-1269,Alpha Energy,Russia,Consumer Electronics,577778325,Private,,3,0,1,High-Risk Country
SUP-1270,Western Industries,Brazil,Industrial Machinery,1770964455,Public,,3,0,0,
SUP-1271,National Trading,China,Defense,709202632,State-Owned,,2,0,0,Section 889 Concern
SUP-1272,Alpha Corp,France,Metals & Mining,362866913,Subsidiary,PARENT-115,2,0,0,
SUP-1273,Global Trading,Singapore,Metals & Mining,594603147,Private,,1,0,0,
SUP-1274,Western Trading,South Korea,Automotive,71873976,Public,,3,0,0,
SUP-1275,Alpha Technologies,United States,Defense,511796218,State-Owned,,2,0,0,
SUP-1276,Western Corp,India,Industrial Machinery,334505950,Subsidiary,PARENT-96,2,0,0,
SUP-1277,Alpha Industries,Singapore,Automotive,1142006444,State-Owned,,2,0,0,
SUP-1278,Eastern Manufacturing,Germany,Defense,60648471,Public,,2,0,0,
SUP-1279,Omega Logistics,South Africa,Consumer Electronics,257889820,State-Owned,,2,0,1,High-Risk Country
SUP-1280,Alpha Systems,Singapore,Telecommunications,1495312079,Subsidiary,PARENT-32,1,0,0,
SUP-1281,United Industries,Japan,Automotive,1934898512,Subsidiary,PARENT-82,1,1,0,Sanctions Match
SUP-1282,Eastern Industries,South Korea,Consumer Electronics,628548240,State-Owned,,1,0,0,
SUP-1283,United Trading,South Korea,Pharmaceuticals,265623879,Public,,1,0,0,
SUP-1284,Advanced Energy,India,Energy,1194751981,State-Owned,,2,1,0,Sanctions Match
SUP-1285,Omega Holdings,Singapore,Defense,146192988,State-Owned,,2,0,0,
SUP-1286,Alpha Solutions,Brazil,Metals & Mining,1773107890,Private,,1,0,0,
SUP-1287,Eastern Industries,Japan,Logistics,1465522932,State-Owned,,1,0,0,
SUP-1288,Omega Corp,United States,Automotive,934040692,Private,,1,0,0,
SUP-1289,Omega Holdings,UAE,Automotive,352821401,State-Owned,,3,0,0,
SUP-1290,Advanced Trading,South Korea,Telecommunications,1821628810,Private,,2,0,0,
SUP-1291,Advanced Solutions,UAE,Automotive,1347225296,State-Owned,,3,0,0,
SUP-1292,Omega Industries,South Korea,Automotive,1275898954,Public,,1,0,0,
SUP-1293,Vertex Corp,Russia,Industrial Machinery,93464090,Private,,1,0,1,High-Risk Country
SUP-1294,Global Corp,UAE,Pharmaceuticals,1652031905,Subsidiary,PARENT-8,3,0,0,
SUP-1295,Alpha Solutions,UAE,Telecommunications,1042116100,Public,,3,0,0,
SUP-1296,Western Manufacturing,Japan,Defense,1483786384,Private,,1,0,0,
SUP-1297,Alpha Logistics,Japan,Logistics,443136085,State-Owned,,3,0,0,
SUP-1298,United Trading,Turkey,Energy,1581681959,State-Owned,,2,0,1,High-Risk Country
